Order,ID,ComparisonStim,StandardPos,DurationFixCrossSecs,Repetition,Response,BrightnessJudgement
1,4,0.4875,right,1.47678001490491,1,,darker
2,6,0.5125,left,1.74987914734008,1,,brighter
3,8,0.5375,right,0.815843600212613,1,,brighter
4,5,0.5,right,1.29045877757496,1,,darker
5,8,0.5375,left,1.36425513413427,2,,brighter
6,4,0.4875,left,0.640014609415422,2,,brighter
7,9,0.55,left,1.44491305623344,1,,brighter
8,9,0.55,right,1.91510864843431,2,,brighter
9,2,0.4625,right,1.53739919502212,1,,darker
10,5,0.5,right,1.92348662491624,2,,brighter
11,8,0.5375,left,1.18488717372605,3,,brighter
12,4,0.4875,right,1.42088134939424,3,,darker
13,3,0.475,right,0.788819769567348,1,,darker
14,1,0.45,right,1.98196170578627,1,,darker
15,9,0.55,right,1.34542478166146,3,,brighter
16,8,0.5375,right,0.934304748395307,4,,brighter
17,8,0.5375,left,1.50195306921138,5,,brighter
18,8,0.5375,left,1.5084256575342,6,,brighter
19,3,0.475,left,1.60586615956721,2,,darker
20,9,0.55,right,0.511733573068362,4,,brighter
21,2,0.4625,left,1.81940637071782,2,,darker
22,1,0.45,left,0.942863797222955,2,,darker
23,5,0.5,left,1.6308530848999,3,,darker
24,1,0.45,right,0.745184680441303,3,,darker
25,4,0.4875,left,1.63417804161119,4,,darker
26,9,0.55,right,1.17609901562513,5,,brighter
27,6,0.5125,left,0.74730786800574,2,,brighter
28,1,0.45,left,1.77281851065905,4,,darker
29,5,0.5,left,1.35799282784167,4,,darker
30,5,0.5,right,0.998160654315236,5,,brighter
31,7,0.525,right,0.721201153505099,1,,brighter
32,8,0.5375,right,1.73509908065288,7,,brighter
33,9,0.55,right,1.96639977664929,6,,brighter
34,4,0.4875,right,1.26345748759181,5,,brighter
35,3,0.475,left,1.17153157778999,3,,darker
36,2,0.4625,right,0.544303981461534,3,,darker
37,5,0.5,right,0.826363822802277,6,,brighter
38,9,0.55,left,1.83284423072525,7,,brighter
39,4,0.4875,right,1.47917706343557,6,,darker
40,7,0.525,right,1.68135983988105,2,,brighter
41,5,0.5,left,1.30261896632831,7,,darker
42,3,0.475,left,1.99718344734701,4,,darker
