Order,ID,ComparisonStim,StandardPos,DurationFixCrossSecs,Repetition,Response,BrightnessJudgement
111,3,0.475,left,0.514132685622884,13,,darker
112,5,0.5,left,1.28757771970046,10,,brighter
113,4,0.4875,right,0.869048022133911,13,,darker
114,2,0.4625,right,0.81307354933794,17,,darker
115,6,0.5125,left,0.671529016766255,12,,darker
116,8,0.5375,left,0.808336414723742,13,,brighter
117,7,0.525,left,1.33160977594652,12,,brighter
118,7,0.525,right,1.29964350387769,13,,brighter
119,9,0.55,left,1.20671081496058,15,,brighter
120,4,0.4875,right,0.764469772797355,14,,darker
121,7,0.525,left,1.40165021686103,14,,brighter
122,4,0.4875,left,1.49731442476229,15,,darker
123,1,0.45,left,1.20186408267675,14,,darker
124,3,0.475,right,1.72175071405975,14,,darker
125,1,0.45,right,1.0724700092178,15,,darker
126,2,0.4625,left,0.573019300191707,18,,darker
127,6,0.5125,left,0.978162361455225,13,,brighter
128,9,0.55,left,1.34858613352699,16,,brighter
129,7,0.525,right,1.2497829518617,15,,brighter
130,1,0.45,right,1.72026983403091,16,,darker
131,2,0.4625,left,1.15222268381696,19,,brighter
132,7,0.525,right,1.96005261802665,16,,brighter
133,2,0.4625,right,1.75837881623856,20,,darker
134,7,0.525,left,0.537003071377611,17,,brighter
135,9,0.55,right,1.77438941294727,17,,brighter
136,8,0.5375,right,1.03843923189036,14,,brighter
137,9,0.55,right,0.621163386482333,18,,brighter
138,7,0.525,left,1.12311970857042,18,,brighter
139,4,0.4875,left,1.61035305834092,16,,darker
140,8,0.5375,left,1.9169519465689,15,,brighter
141,8,0.5375,left,1.22565760353266,16,,brighter
142,3,0.475,right,1.13195264181759,15,,brighter
143,7,0.525,left,1.34689604418035,19,,brighter
144,6,0.5125,left,1.85228162685732,14,,darker
145,2,0.4625,left,0.984178106830809,21,,darker
146,2,0.4625,left,1.55686040640632,22,,darker
147,4,0.4875,left,1.58943513314894,17,,darker
148,8,0.5375,right,0.719768480060789,17,,brighter
149,3,0.475,left,1.5361323831277,16,,darker
150,7,0.525,right,0.659764060998012,20,,brighter
151,7,0.525,right,0.95078646184237,21,,brighter
152,5,0.5,right,0.674000315664737,11,,darker
153,6,0.5125,left,0.65189225822587,15,,darker
154,8,0.5375,left,0.75647203804806,18,,brighter
155,3,0.475,left,0.955254346101863,17,,darker
156,5,0.5,left,1.14130373246079,12,,brighter
157,2,0.4625,right,1.35260166606458,23,,darker
158,9,0.55,right,0.592238750058931,19,,brighter
159,5,0.5,right,1.35205982319875,13,,brighter
160,7,0.525,left,0.792486259819625,22,,brighter
161,5,0.5,right,1.89148853987063,14,,darker
162,2,0.4625,right,1.98472010656677,24,,darker
163,1,0.45,right,0.781039889546782,17,,darker
164,3,0.475,left,0.895110415702564,18,,darker
165,8,0.5375,right,1.2631990207505,19,,brighter
166,1,0.45,left,1.00798345155501,18,,darker
167,1,0.45,left,0.954708551838836,19,,darker
168,3,0.475,right,1.87715116316589,19,,darker
169,3,0.475,left,0.8338733704802,20,,brighter
170,5,0.5,left,1.36339629040726,15,,darker
171,3,0.475,left,0.791476440577337,21,,darker
172,5,0.5,left,1.49770886487471,16,,darker
173,5,0.5,right,1.41310612406684,17,,darker
174,7,0.525,left,0.77503403249387,23,,brighter
175,9,0.55,right,1.93612076912234,20,,brighter
176,2,0.4625,left,0.95686115615195,25,,darker
177,2,0.4625,right,1.69590879796853,26,,darker
178,3,0.475,left,0.506730250732331,22,,darker
179,8,0.5375,left,1.02871462121506,20,,brighter
180,1,0.45,left,0.685066489147442,20,,darker
181,7,0.525,left,0.991391190114986,24,,brighter
182,9,0.55,right,1.0914955060963,21,,brighter
183,9,0.55,left,1.74317522758692,22,,brighter
184,5,0.5,left,1.17844766051329,18,,darker
185,9,0.55,right,1.75074988255184,23,,brighter
186,1,0.45,right,0.777069114514255,21,,darker
187,5,0.5,left,1.31751052381362,19,,brighter
188,1,0.45,right,1.22308377899415,22,,darker
189,8,0.5375,right,1.89467224106203,21,,brighter
190,6,0.5125,right,1.41498201615127,16,,brighter
191,4,0.4875,right,1.7597408306069,18,,brighter
192,7,0.525,left,0.516185507882703,25,,brighter
193,6,0.5125,right,0.751544071651884,17,,darker
194,9,0.55,left,1.10500463195929,24,,brighter
195,6,0.5125,left,1.30579165358452,18,,darker
196,9,0.55,left,1.78860096987817,25,,brighter
197,9,0.55,left,1.5974892287293,26,,brighter
198,8,0.5375,right,1.06667625204185,22,,brighter
199,1,0.45,left,1.76313123866363,23,,darker
200,7,0.525,left,1.90138485906852,26,,brighter
201,4,0.4875,left,0.523347520851762,19,,darker
202,5,0.5,right,0.764883729209792,20,,darker
203,9,0.55,right,1.51283939995362,27,,brighter
204,7,0.525,right,1.37171189024865,27,,brighter
205,3,0.475,right,0.864346126976601,23,,darker
206,6,0.5125,right,1.33067991792625,19,,brighter
207,3,0.475,right,0.705352081913618,24,,darker
208,2,0.4625,right,1.29385595053403,27,,darker
209,2,0.4625,left,0.879071424389727,28,,darker
210,9,0.55,right,0.80333295841841,28,,brighter
211,3,0.475,left,1.12156672033418,25,,darker
212,7,0.525,right,1.10780623568921,28,,brighter
213,2,0.4625,left,1.49616274074747,29,,darker
214,3,0.475,right,1.34600533250078,26,,darker
